"metro,location_tier,sqft,bedrooms,bathrooms,house_age,garage_spaces,lot_size,price"
"New York,1,2844,5,3,58,1,9180,1666000"
"Austin,2,1046,2,1,69,1,1677,334900"
"New York,1,1167,1,1,34,1,3430,818800"
"New York,1,1586,2,1,40,1,4484,1054700"
"Columbus,3,1616,3,1,36,2,6030,333700"
"Seattle,2,3199,4,2,29,1,10257,1634800"
"Seattle,2,2551,4,3,19,1,3924,1049300"
"San Francisco,1,2514,4,3,51,1,5866,2008800"
"Seattle,2,1728,2,1,1,2,2076,691900"
"Boston,1,1714,3,2,59,0,3213,869900"
"Denver,2,956,2,2,67,1,3747,300900"
"New York,1,2408,3,2,18,0,5962,2195200"
"Columbus,3,2219,3,2,17,2,8053,322000"
"Indianapolis,3,2736,5,3,40,0,3465,479300"
"San Francisco,1,1763,2,1,67,0,6460,1444200"
"San Francisco,1,1808,2,1,9,2,6672,1288300"
"New York,1,2011,2,1,34,0,6093,1671600"
"Denver,2,2480,4,2,17,2,3783,694500"
"New York,1,944,1,1,68,1,3448,598600"
"Columbus,3,2378,3,1,70,2,8845,307700"
"Phoenix,3,1887,4,2,6,1,3327,418600"
"Phoenix,3,1212,1,1,11,0,4645,287100"
"Austin,2,545,1,1,12,1,1998,309200"
"Indianapolis,3,1811,4,3,64,3,3212,360600"
"San Francisco,1,2841,5,3,72,2,6542,1976500"
"Seattle,2,2989,4,2,29,1,6405,800100"
"Seattle,2,2131,3,2,12,1,5530,994700"
"Indianapolis,3,3175,5,3,53,1,11713,427500"
"Denver,2,1872,4,2,71,1,6829,698100"
"Phoenix,3,2520,4,3,72,1,4264,461100"
"New York,1,1607,2,1,35,2,4408,996700"
"Indianapolis,3,1566,1,1,62,0,4221,179400"
"Austin,2,1460,2,1,76,2,3593,492300"
"Austin,2,561,1,1,66,0,1796,188900"
"Indianapolis,3,2737,4,2,37,2,8235,475000"
"Seattle,2,1483,2,1,20,1,2922,632800"
"Seattle,2,1379,3,1,29,0,2999,701600"
"Denver,2,1133,1,1,28,2,4178,339700"
"New York,1,1767,3,2,79,1,3732,874100"
"Seattle,2,3046,4,3,58,2,7443,1322900"
"New York,1,3261,5,2,68,2,12797,1973700"
"San Francisco,1,820,1,1,62,3,2952,663800"
"Columbus,3,1670,2,1,38,2,5272,254800"
"Denver,2,1228,3,2,63,1,2519,340800"
"Seattle,2,2542,5,3,51,1,7526,1128500"
"Seattle,2,2086,3,2,59,2,6253,848100"
"Austin,2,1486,5,3,24,1,3496,511300"
"Chicago,2,1947,2,1,18,1,2533,561700"
"Indianapolis,3,1590,3,1,14,1,3540,303000"
"Indianapolis,3,2949,3,2,23,2,7735,424100"
"Seattle,2,2256,3,2,78,1,8709,989000"
"Seattle,2,2335,3,1,75,0,7558,770500"
"Austin,2,500,1,1,11,3,751,303200"
"Denver,2,1857,3,2,44,2,3796,598300"
"Austin,2,3254,5,3,75,1,8658,912000"
"Chicago,2,2762,5,3,60,0,6803,859600"
"Denver,2,699,1,1,48,2,849,260300"
"Seattle,2,1696,3,2,47,1,6476,679300"
"Seattle,2,1119,2,1,26,2,4175,543700"
"Seattle,2,3012,4,3,73,2,11405,1074600"
"San Francisco,1,2059,3,2,6,1,4942,1429500"
"New York,1,1401,2,1,69,1,4950,853000"
"Chicago,2,1922,3,2,69,0,6119,456000"
"Seattle,2,500,2,1,20,1,1316,283500"
"New York,1,1195,2,1,40,1,1692,937100"
"Denver,2,1924,3,1,70,1,3213,489300"
"Phoenix,3,2450,3,2,37,3,4574,435600"
"Boston,1,638,1,1,24,2,2366,348100"
"Phoenix,3,1652,2,2,5,1,5060,328200"
"Indianapolis,3,2556,4,2,35,1,10103,437000"
"Denver,2,957,1,1,22,1,2666,363600"
"Chicago,2,2049,4,2,68,1,2945,543900"
"San Francisco,1,1943,3,2,68,1,4931,1619400"
"Indianapolis,3,3014,4,2,25,0,4560,396200"
"Seattle,2,1750,3,3,16,1,6517,959700"
"Indianapolis,3,1788,1,1,23,0,3540,239300"
"Denver,2,2456,3,2,32,1,4304,642000"
"San Francisco,1,1038,1,1,53,2,2733,865100"
"San Francisco,1,1756,4,2,12,3,6075,1537900"
"Chicago,2,1604,2,1,79,2,4217,394800"
"Denver,2,1810,2,1,56,3,2366,602100"
"San Francisco,1,2451,4,2,10,1,8040,1980900"
"Phoenix,3,2260,3,1,25,1,2928,456300"
"Columbus,3,1413,2,1,56,2,4087,276200"
"Austin,2,1989,3,2,40,0,5823,686800"
"Austin,2,2869,4,3,42,0,5118,963600"
"San Francisco,1,1360,2,2,3,3,3333,1006800"
"Phoenix,3,1994,2,1,32,2,2427,566500"
"Seattle,2,1774,2,2,49,3,3538,601300"
"Columbus,3,1859,3,2,59,0,5455,275100"
"Seattle,2,840,2,2,35,2,1676,402700"
"Denver,2,2817,3,2,44,1,3756,1008400"
"Boston,1,1397,3,1,17,1,4314,679600"
"New York,1,2567,4,3,63,2,8416,1768200"
"Phoenix,3,1496,3,2,55,1,5410,298600"
"Austin,2,1493,3,2,59,2,5452,462500"
"Denver,2,2689,5,2,53,2,6964,868500"
"Indianapolis,3,2546,5,4,78,2,5959,330200"
"Indianapolis,3,2036,3,2,70,0,5783,279500"
"Columbus,3,2395,3,2,64,1,8190,399300"
"New York,1,1712,2,1,26,3,4333,1460300"
"Denver,2,1895,4,2,5,1,7554,572400"
"Columbus,3,1470,3,2,0,1,4388,302400"
"Seattle,2,2488,3,2,62,0,5132,931000"
"San Francisco,1,1449,2,1,71,0,4959,1060500"
"Phoenix,3,2865,4,2,51,3,4647,710900"
"Austin,2,1695,3,2,57,1,6475,568200"
"Denver,2,1913,2,1,7,2,4119,439800"
"Indianapolis,3,2393,2,1,45,1,7462,322700"
"Denver,2,1916,4,2,48,1,5654,598500"
"Austin,2,1706,3,2,12,1,2505,601400"
"Seattle,2,1880,3,2,60,2,6055,712000"
"Seattle,2,2481,4,3,26,1,5143,874200"
"New York,1,1469,3,2,15,1,3331,1347900"
"Phoenix,3,1818,2,1,55,1,2673,347200"
"Phoenix,3,1907,2,2,34,0,6614,384900"
"Boston,1,2462,4,2,42,1,8885,1457100"
"Boston,1,1835,1,1,43,1,2892,732100"
"Columbus,3,3075,5,3,49,0,10687,526800"
"San Francisco,1,1798,3,2,33,2,6678,1246000"
"Austin,2,1746,2,1,65,0,2571,565800"
"Austin,2,1789,2,2,70,2,7143,511400"
"Chicago,2,1044,1,1,38,2,1266,318700"
"New York,1,1226,1,1,13,2,4363,1133600"
"Chicago,2,1555,2,2,22,2,4297,468500"
"Seattle,2,2638,4,2,61,1,10236,780200"
"Denver,2,1878,2,1,20,1,4031,595900"
"San Francisco,1,1585,2,2,62,1,3503,1261400"
"Austin,2,2697,4,2,52,0,9583,962300"
"Austin,2,2908,4,3,35,2,9276,1154900"
"New York,1,2716,3,2,10,0,7826,2129200"
"New York,1,1345,3,2,43,1,4041,935900"
"New York,1,1578,2,1,55,1,4910,946800"
"Seattle,2,3079,5,3,12,2,4107,1101500"
"San Francisco,1,2057,3,2,65,1,3147,1406200"
"Indianapolis,3,1726,2,2,15,1,2947,294700"
"Seattle,2,2367,4,2,33,1,4012,808600"
"Phoenix,3,2555,4,3,42,3,9096,482400"
"Indianapolis,3,1529,3,2,59,2,3524,250400"
"San Francisco,1,2043,3,2,17,1,5251,1501600"
"Chicago,2,2502,4,3,26,2,3629,701200"
"Columbus,3,1146,1,1,64,0,4169,161100"
"Chicago,2,1908,3,2,26,1,2344,532800"
"Austin,2,1176,2,1,49,0,1685,352100"
"Austin,2,1261,3,2,31,1,4381,378300"
"San Francisco,1,1534,2,1,4,2,2402,1419500"
"Denver,2,2210,4,2,41,1,7561,641500"
"Indianapolis,3,1691,3,1,28,2,3688,262500"
"Indianapolis,3,1479,3,2,21,1,4989,241700"
"San Francisco,1,1934,3,2,68,1,2593,1502700"
"Chicago,2,1154,2,1,61,1,2487,313200"
"Boston,1,2179,2,1,22,2,5551,1099000"
"Columbus,3,2635,3,2,41,1,7778,391500"
"San Francisco,1,1849,1,1,57,1,6548,1364100"
"Indianapolis,3,1768,3,2,4,1,3332,315700"
"Phoenix,3,2143,4,3,7,1,6525,581400"
"New York,1,581,2,1,43,1,944,479100"
"San Francisco,1,2249,3,1,74,2,7706,1455000"
"Phoenix,3,3916,6,4,74,1,14932,771200"
"New York,1,1820,3,2,35,0,2425,1173000"
"Denver,2,1823,4,1,56,2,2595,417600"
"Columbus,3,2383,5,3,39,2,8114,329500"
"Denver,2,2969,5,3,72,2,10880,886900"
"Seattle,2,2534,4,2,45,1,7640,1031700"
"Austin,2,500,2,1,71,3,1246,202900"
"San Francisco,1,2266,3,2,29,1,7599,1960300"
"Indianapolis,3,3572,5,3,74,1,7284,407600"
"Boston,1,2305,3,2,58,1,9167,887300"
"New York,1,1150,1,1,61,1,4111,682200"
"Boston,1,2083,3,1,1,1,7674,972300"
"Indianapolis,3,1068,1,1,64,3,3838,169400"
"San Francisco,1,2701,5,3,12,1,10296,1969200"
"Columbus,3,1279,2,1,74,0,1766,133100"
"Chicago,2,1948,4,2,15,1,7294,398700"
"Phoenix,3,1342,1,1,66,1,2545,248900"
"Indianapolis,3,1545,4,2,50,2,3408,215900"
"Columbus,3,2866,3,2,31,3,6413,351700"
"Indianapolis,3,1967,2,1,71,2,3641,272700"
"New York,1,1537,2,1,31,3,3731,1274400"
"Phoenix,3,1156,3,1,5,1,3023,297600"
"Denver,2,683,1,1,6,1,1104,308400"
"Denver,2,1087,2,1,68,1,2399,338400"
"Columbus,3,1973,2,1,30,2,4291,236900"
"Indianapolis,3,2537,3,2,65,1,7837,380600"
"Chicago,2,1536,3,2,1,1,4341,557500"
"Austin,2,2921,5,3,6,1,9362,1252000"
"Austin,2,1434,3,2,79,1,4868,444700"
"Seattle,2,1745,3,1,11,2,5353,684500"
"Seattle,2,1198,1,1,55,2,2247,575600"
"Seattle,2,2544,3,1,28,0,6629,1073600"
"San Francisco,1,3263,5,3,40,1,8178,2712500"
"San Francisco,1,755,1,1,9,0,1063,637500"
"Phoenix,3,1675,2,2,21,1,6205,392500"
"Austin,2,2722,3,2,60,1,3963,719900"
"Indianapolis,3,959,2,2,42,1,3773,180400"
"Denver,2,2268,4,2,40,1,2923,654600"
"San Francisco,1,2694,4,2,75,2,8737,2550600"
"New York,1,1951,3,1,32,2,3912,1387000"
"New York,1,2258,4,3,64,1,8430,1106000"
"Indianapolis,3,3045,4,3,57,2,10680,437000"
"New York,1,3166,5,3,36,2,4021,2123700"
"Austin,2,1860,1,1,23,0,2346,563900"
"Indianapolis,3,1554,1,1,28,1,4489,209600"
"Indianapolis,3,1302,2,1,69,0,2108,181000"
"New York,1,2535,6,4,24,0,3142,1508800"
"San Francisco,1,1008,1,1,52,1,3941,863200"
"New York,1,1736,2,1,9,1,5159,1062100"
"San Francisco,1,1967,3,2,27,3,2420,1457900"
"New York,1,1573,4,3,74,2,4048,1184100"
"Denver,2,2082,3,2,43,1,3417,665800"
"Columbus,3,3567,6,3,65,2,12322,563400"
"Denver,2,1821,3,1,20,3,2331,595800"
"Chicago,2,1617,2,2,60,1,3620,418500"
"New York,1,2560,4,2,78,1,4778,1419800"
"Phoenix,3,2056,3,2,74,2,8114,330500"
"Denver,2,2836,5,4,34,3,4023,952600"
"Columbus,3,2007,2,1,54,2,6454,377700"
"Indianapolis,3,1739,3,2,71,0,4414,252600"
"Seattle,2,741,1,2,65,2,2583,358300"
"San Francisco,1,847,1,1,78,1,1525,526700"
"New York,1,707,1,1,2,1,2542,685800"
"Austin,2,2147,3,2,42,1,8290,774400"
"Indianapolis,3,1015,2,2,63,2,1824,180400"
"Seattle,2,2716,4,2,58,1,5105,1177600"
"Phoenix,3,1920,3,1,12,1,7485,510500"
"Denver,2,1741,2,2,45,2,4205,477800"
"New York,1,1351,2,1,13,1,4781,836800"
"Seattle,2,2304,3,2,7,2,8199,1039700"
"Chicago,2,1377,2,2,8,1,2851,379800"
"Chicago,2,1260,2,1,76,1,2143,261500"
"Austin,2,2672,4,2,21,0,5949,1009300"
"New York,1,2131,3,1,36,3,6089,1257500"
"Chicago,2,1747,2,1,20,3,4528,501600"
"New York,1,2317,4,3,71,1,7560,1206200"
"Indianapolis,3,1906,3,2,71,2,5216,271600"
"New York,1,2149,3,1,52,2,7426,1604900"
"San Francisco,1,1369,3,2,66,0,2041,1173700"
"Austin,2,3246,4,3,8,1,7886,1223300"
"Austin,2,1523,3,1,79,2,1896,463100"
"Austin,2,2911,4,2,33,1,4478,1048700"
"Austin,2,1777,3,1,32,3,3782,657600"
"Indianapolis,3,2425,4,2,15,0,9031,362000"
"Austin,2,2377,3,2,70,3,5383,786500"
"Austin,2,2645,3,3,13,3,5199,1014100"
"Austin,2,1354,1,1,68,1,4168,358000"
"San Francisco,1,2599,4,2,57,1,8238,1699500"
"Denver,2,3100,5,3,61,2,7898,904000"
"New York,1,1732,2,1,2,2,3478,1045500"
"Chicago,2,1923,3,2,59,1,3933,414300"
"San Francisco,1,1560,1,2,77,1,2682,1061200"
"Indianapolis,3,1675,2,1,31,2,3711,291400"
"Austin,2,3012,4,2,35,1,5033,1063800"
"Columbus,3,1247,2,1,8,2,3741,272900"
"Austin,2,1288,2,1,39,1,4772,474500"
"San Francisco,1,2947,4,3,53,3,5634,2763400"
"Phoenix,3,2306,3,2,23,0,4331,429300"
"Chicago,2,3278,4,3,59,3,12177,871700"
"Phoenix,3,1607,2,1,6,1,4484,340400"
"Austin,2,1982,4,3,53,3,6428,596700"
"Chicago,2,1471,2,1,47,0,5427,446400"
"Columbus,3,1993,2,1,18,2,6102,337600"
"Chicago,2,747,1,1,27,2,2449,286100"
"Seattle,2,2345,4,3,19,2,5355,989400"
"Chicago,2,2110,3,1,49,0,8075,621000"
"Chicago,2,1863,4,3,50,1,5907,457100"
"Indianapolis,3,1646,2,1,44,0,2306,257500"
"Seattle,2,1318,2,1,15,1,3778,675600"
"Austin,2,2373,4,2,17,2,3477,637500"
"Phoenix,3,1139,2,1,64,3,3032,228700"
"Austin,2,2233,2,1,36,2,3233,800800"
"Chicago,2,3248,4,2,34,0,9602,975800"
"Austin,2,2866,5,3,24,1,7101,1052700"
"New York,1,922,1,1,74,1,2534,559700"
"Phoenix,3,1551,3,1,19,0,4679,304300"
"New York,1,2174,3,2,61,2,4133,1481000"
"New York,1,1854,3,2,61,1,3883,1131000"
"Chicago,2,990,1,1,19,0,2524,289900"
"Phoenix,3,2150,3,2,0,2,5989,473100"
"Columbus,3,1893,2,1,19,0,7167,363400"
"Boston,1,3144,5,3,21,1,6871,1784800"
"New York,1,1735,3,1,59,1,4957,1258900"
"Indianapolis,3,2659,4,3,42,0,10059,395600"
"New York,1,1076,1,1,34,1,3454,683600"
"New York,1,1232,1,1,38,1,2611,901900"
"Boston,1,2369,4,2,76,2,5594,1260800"
"Austin,2,2604,3,2,75,1,9532,909800"
"Columbus,3,1278,3,1,2,1,3100,274900"
"Phoenix,3,1916,3,1,67,2,3651,335400"
"Chicago,2,1002,1,1,28,0,2670,308100"
"New York,1,1782,3,2,60,0,3066,1286600"
"Seattle,2,2444,4,3,78,1,6916,983500"
"Austin,2,1617,1,1,41,0,6430,531700"
"New York,1,1738,2,1,49,0,6803,1039700"
"Boston,1,1166,3,1,34,3,3403,830400"
"Boston,1,1479,2,1,5,1,5445,698900"
"New York,1,3043,4,3,2,1,10597,1831700"
"Denver,2,1947,3,2,28,1,7519,658500"
"Chicago,2,1248,2,2,65,0,4549,322900"
"San Francisco,1,1695,2,1,27,2,6305,1538400"
"Austin,2,862,1,1,34,2,1588,382600"
"Phoenix,3,1241,3,2,42,3,2038,252100"
"Phoenix,3,2784,3,2,25,0,3684,475600"
"Phoenix,3,1807,2,1,39,0,5504,319700"
"Austin,2,3129,5,3,48,2,11933,1147400"
"Phoenix,3,1838,4,2,68,1,7320,392800"
"Boston,1,1877,3,2,60,0,6732,826100"
"Seattle,2,2317,3,1,65,1,8172,926700"
"New York,1,500,2,1,41,0,1326,354500"
"Austin,2,2033,2,1,55,2,5012,589400"
"Seattle,2,1868,3,2,11,2,5591,718100"
"Boston,1,2866,5,3,11,2,3621,1387600"
"Phoenix,3,2527,3,2,73,1,8653,476600"
"Boston,1,1163,2,1,48,2,3537,515500"
"Boston,1,2707,4,2,9,2,4537,1351100"
"New York,1,1729,3,2,32,2,5152,1366900"
"Austin,2,1312,1,1,77,1,3777,349800"
"Boston,1,2028,3,3,1,3,6908,1040100"
"Seattle,2,1768,2,1,35,1,6267,791500"
"New York,1,2900,5,3,66,2,5538,1838800"
"Phoenix,3,2121,3,1,75,2,7382,332200"
"Indianapolis,3,2034,4,3,29,2,3478,310200"
"Austin,2,2485,4,2,73,3,5725,743000"
"Chicago,2,2610,4,2,57,1,6732,638000"
"Columbus,3,2409,4,2,32,2,8320,411500"
"Indianapolis,3,2823,5,3,62,1,10510,485400"
"Denver,2,2296,4,3,64,2,2866,663400"
"Columbus,3,2009,1,1,22,1,6558,267500"
"Columbus,3,2705,3,2,7,1,9892,475100"
"Phoenix,3,1841,4,2,62,3,7128,478600"
"Austin,2,1922,2,1,6,2,3748,666100"
"San Francisco,1,3019,5,3,62,1,5085,2094600"
"San Francisco,1,2954,5,3,28,0,7672,2175800"
"Austin,2,1895,2,1,56,1,7055,656800"
"Austin,2,1605,1,1,48,0,3344,484300"
"Seattle,2,2851,4,2,3,0,7453,971800"
"Denver,2,2420,5,3,0,3,9650,794900"
"Denver,2,2105,3,2,50,1,5214,632200"
"Phoenix,3,1691,2,1,41,0,5004,357100"
"San Francisco,1,2116,3,2,3,2,8438,1637600"
"New York,1,1886,4,2,78,0,4203,1133700"
"Phoenix,3,1468,2,1,19,1,2883,325100"
"Columbus,3,1984,3,2,68,1,3951,271900"
"Indianapolis,3,2073,4,2,9,1,6069,341500"
"Columbus,3,1656,3,1,18,1,2742,311200"
"Columbus,3,2487,3,2,42,2,4130,335200"
"Boston,1,2738,3,2,42,1,5280,1267100"
"Seattle,2,2530,5,2,48,2,6868,904000"
"Boston,1,1720,3,2,13,3,6130,802600"
"Denver,2,2391,3,1,21,2,6413,690400"
"Indianapolis,3,1951,2,1,21,3,6617,369100"
"Seattle,2,1097,1,1,35,3,4258,415000"
"Denver,2,2337,3,1,73,2,7647,636400"
"Boston,1,1995,2,1,36,1,5985,925600"
"New York,1,3586,5,4,79,1,4385,2490100"
"New York,1,2847,4,3,20,2,6991,2355000"
"San Francisco,1,2362,3,2,19,2,4607,1747200"
"Indianapolis,3,2062,4,2,8,2,5433,371600"
"Seattle,2,2006,3,2,16,2,7749,895200"
"Phoenix,3,1248,2,1,24,2,2617,289000"
"Chicago,2,770,2,2,30,2,1271,287500"
"New York,1,1333,2,2,57,2,4682,747600"
"New York,1,1869,3,2,35,0,7427,1268900"
"Phoenix,3,531,1,1,54,1,1797,143300"
"Boston,1,1546,2,2,7,0,2454,702000"
"Columbus,3,1739,5,3,75,0,4768,299600"
"New York,1,1760,3,2,11,1,4109,988700"
"Chicago,2,1470,2,1,2,0,4371,445600"
"Phoenix,3,1678,3,1,33,3,5155,434900"
"New York,1,3021,0,2,52,1,10452,1886300"
"Boston,1,2330,4,2,18,2,4362,994000"
"Indianapolis,3,1536,1,1,13,0,5992,210000"
"Boston,1,1856,2,1,67,2,3343,850200"
"Austin,2,1882,3,2,65,1,2912,657500"
"Austin,2,1401,3,2,60,1,4933,485400"
"Boston,1,1400,3,1,17,2,3496,698300"
"Phoenix,3,2557,5,4,42,1,6578,408200"
"Phoenix,3,1627,3,2,55,1,3404,333400"
"Seattle,2,1188,2,1,34,2,1580,487100"
"Phoenix,3,1872,3,1,14,2,3261,374300"
"New York,1,1977,4,2,66,1,6589,1542200"
"San Francisco,1,618,2,2,75,3,1130,424600"
"Denver,2,1874,3,2,13,1,7458,518900"
"Indianapolis,3,2464,4,2,56,1,8381,362800"
"San Francisco,1,2193,4,2,70,1,7842,1573100"
"New York,1,3349,5,2,43,1,12208,2034200"
"Austin,2,2713,4,2,3,1,8717,978700"
"Phoenix,3,2842,5,4,55,2,7120,587300"
"San Francisco,1,3720,6,4,73,1,14016,2456200"
"Seattle,2,2393,3,2,20,3,5730,949200"
"Phoenix,3,2006,3,2,11,0,2945,423200"
"Seattle,2,2533,4,2,20,2,7270,1100500"
"New York,1,1536,4,2,64,0,2297,1049500"
"New York,1,1970,4,3,44,1,5979,1254200"
"Seattle,2,1479,2,1,1,1,5906,732100"
"Austin,2,2159,4,2,47,2,6673,820800"
"Columbus,3,1476,2,1,65,2,2641,230400"
"Chicago,2,1453,3,1,14,1,2304,421700"
"Chicago,2,2169,3,2,46,1,4767,541100"
"Indianapolis,3,1810,3,2,18,1,2911,268900"
"Seattle,2,647,1,1,1,1,1808,342500"
"Seattle,2,954,2,1,32,2,3237,454100"
"Indianapolis,3,1154,1,1,61,1,3511,176000"
"Boston,1,1326,2,1,53,2,3883,572200"
"Chicago,2,2169,4,2,8,3,5248,629300"
"Phoenix,3,2042,4,3,14,1,3438,441100"
"San Francisco,1,2592,4,3,43,3,7739,2458200"
"Austin,2,2389,3,3,25,2,5672,897300"
"New York,1,2597,5,3,26,0,5338,1869700"
"New York,1,2295,3,2,34,2,6991,1710200"
"Austin,2,2036,4,2,60,1,4601,617200"
"Boston,1,2615,5,3,46,2,4371,1415100"
"Phoenix,3,2498,5,3,68,2,6379,500200"
"Columbus,3,2144,4,3,8,2,4309,398600"
"Phoenix,3,2726,4,2,37,2,8870,472400"
"Boston,1,500,1,1,44,2,666,289400"
"Boston,1,1711,3,2,60,1,6139,638100"
"Boston,1,1701,2,1,41,3,4238,795100"
"New York,1,2649,5,3,73,2,3297,1548500"
"Indianapolis,3,2921,5,3,67,2,4596,375300"
"Seattle,2,957,1,1,55,2,3682,356400"
"New York,1,2817,6,3,31,0,7616,2030300"
"Columbus,3,1139,2,1,25,1,3818,243300"
"Seattle,2,1158,1,1,42,2,4252,624300"
"San Francisco,1,1748,2,1,37,3,3665,1641700"
"New York,1,1693,4,2,2,2,4624,1288300"
"Chicago,2,887,3,1,18,1,2680,350300"
"Phoenix,3,2322,4,3,66,1,8258,476700"
"New York,1,2342,5,3,36,1,5565,1499100"
"Columbus,3,2585,5,3,75,1,9991,399900"
"Columbus,3,1618,3,1,19,2,4692,329300"
"Columbus,3,1874,3,2,77,1,6834,435800"
"New York,1,1880,3,3,64,1,2695,1377700"
"San Francisco,1,2997,5,3,28,1,7485,2369500"
"Columbus,3,500,1,1,48,3,851,132500"
"Boston,1,1278,2,1,79,2,4797,618500"
"Denver,2,1904,4,2,50,1,3538,580600"
"Phoenix,3,1194,2,1,74,1,3816,249900"
"New York,1,1732,2,1,8,1,2383,1163100"
"Phoenix,3,1818,3,3,13,1,3204,361500"
"Indianapolis,3,1473,2,1,0,2,3087,280400"
"Chicago,2,1942,2,1,26,1,6582,566400"
"Austin,2,2308,4,2,63,1,4393,712500"
"Columbus,3,1746,2,2,77,1,6089,277600"
"Austin,2,1605,2,1,43,1,5470,608800"
"Phoenix,3,1792,2,1,33,1,7129,376100"
"Phoenix,3,1895,4,4,74,2,5867,375900"
"Phoenix,3,769,2,1,47,0,2295,164600"
"Boston,1,2200,3,2,42,1,6345,996600"
"New York,1,1607,2,1,6,2,2422,1346100"
"New York,1,2720,4,2,17,3,7173,1797900"
"Austin,2,2284,4,2,55,0,8186,779200"
"Austin,2,2661,4,2,55,0,3349,778300"
"Denver,2,1243,2,1,39,3,1932,401400"
"Seattle,2,1659,3,2,56,0,4780,606900"
"Phoenix,3,1092,2,1,55,3,3900,254400"
"Columbus,3,1442,2,2,5,2,2971,275700"
"Boston,1,2714,4,2,66,0,9879,1394800"
"Chicago,2,2867,4,3,55,0,6150,695200"
"Chicago,2,1154,4,2,17,3,2889,405300"
"Austin,2,1602,2,2,17,1,6197,589200"
"New York,1,1850,3,2,76,1,4383,1215300"
"Phoenix,3,2281,4,3,20,1,6566,585600"
"Indianapolis,3,756,1,1,2,2,2887,160800"
"Chicago,2,858,1,1,2,2,1665,323100"
"Columbus,3,2218,3,2,18,2,3233,307300"
"Indianapolis,3,633,1,1,50,0,2458,129200"
"Seattle,2,1610,3,2,36,1,4456,695200"
"Chicago,2,2005,2,1,58,2,7828,424200"
"Austin,2,2170,5,3,18,1,7870,680200"
"Indianapolis,3,1808,3,2,18,2,5180,337200"
"San Francisco,1,1662,3,1,32,2,4188,1063000"
"Seattle,2,2449,3,2,63,0,6232,969400"
"Columbus,3,2085,3,2,40,3,3471,332400"
"Boston,1,1479,3,2,60,1,3653,683900"
"Phoenix,3,1925,6,4,7,1,6739,445800"
"Seattle,2,2149,4,2,32,0,8529,814200"
"Indianapolis,3,3017,5,3,34,1,11733,432100"
"Columbus,3,2411,4,2,5,1,9389,472400"
"Boston,1,2689,4,3,25,1,3370,1201900"
"Phoenix,3,1503,3,2,22,2,3974,375300"
"Seattle,2,1559,2,1,36,2,2744,639800"
"Denver,2,1747,2,1,13,0,5106,610600"
"Chicago,2,1807,2,2,21,2,6954,557800"
"Phoenix,3,1245,3,2,76,2,4550,247300"
"San Francisco,1,2723,4,2,11,1,9875,1905200"
"New York,1,2474,4,3,65,3,5502,1793300"
"Chicago,2,1701,3,1,43,1,4428,408800"
"Denver,2,2317,3,2,6,0,4610,777900"
"Austin,2,2045,3,2,32,0,5625,692700"
"San Francisco,1,2368,3,2,41,1,4853,1681000"
"Seattle,2,1026,1,1,22,1,3555,515700"
"Columbus,3,1805,2,2,21,0,4513,364900"
"San Francisco,1,1862,2,2,56,1,5886,1519500"
"Seattle,2,2305,4,3,2,3,8398,1087300"
"Indianapolis,3,1492,3,2,74,2,3043,257000"
"San Francisco,1,500,1,1,25,2,1471,421800"
"Phoenix,3,1197,2,1,30,2,4271,249200"
"Boston,1,1860,4,3,10,2,7183,948200"
"Columbus,3,1942,2,1,70,1,3217,320200"
"Phoenix,3,2994,5,2,17,1,9305,684700"
"Columbus,3,2279,4,2,64,1,5512,279200"
"New York,1,1953,4,3,26,0,3905,1269400"
"Denver,2,1879,3,2,2,1,3085,534000"
"Phoenix,3,2618,4,3,32,1,7433,535000"
"Boston,1,1516,2,1,41,0,3237,777600"
"New York,1,1809,3,2,37,1,5554,1379700"
"San Francisco,1,1192,2,2,78,2,2368,934000"
"Indianapolis,3,2822,3,2,41,1,3391,355200"
"Chicago,2,2155,4,3,62,1,7215,563800"
"Chicago,2,1440,3,1,29,1,2378,439200"
"Phoenix,3,1826,2,1,11,1,3482,496600"
"Denver,2,2231,3,1,39,2,4147,576000"
"Austin,2,1737,3,2,44,0,3749,689900"
"Austin,2,1553,2,1,33,1,3974,551700"
"Chicago,2,1475,1,1,61,3,5125,430600"
"New York,1,2120,3,2,77,1,6404,1361000"
"Columbus,3,1667,2,1,6,2,2682,359800"
"Phoenix,3,1605,1,1,5,2,2751,372900"
"Seattle,2,1032,2,1,21,1,3686,466500"
"Denver,2,1950,4,2,46,1,3704,637200"
"New York,1,1782,3,2,3,1,3230,1438500"
"Indianapolis,3,1691,3,2,15,1,2046,277200"
"Columbus,3,2029,2,1,32,1,6832,253400"
"Indianapolis,3,2386,4,2,30,2,7797,367500"
"Seattle,2,2356,4,2,67,0,5120,913500"
"New York,1,2259,4,2,43,0,2757,1431700"
"New York,1,1744,4,2,69,1,5929,1081600"
"San Francisco,1,1531,2,1,60,1,2263,1303800"
"New York,1,1221,1,1,33,2,3039,614900"
"San Francisco,1,1514,2,1,78,0,5378,1103800"
"Indianapolis,3,1913,3,2,67,2,3604,270100"
"San Francisco,1,1389,2,1,39,2,3143,1386400"
"New York,1,1962,2,2,68,1,5985,1242700"
"Phoenix,3,1272,1,1,20,2,3924,316300"
"Denver,2,820,1,1,16,1,2046,329000"
"Phoenix,3,2433,3,2,63,0,5874,447600"
